NAME,K200101_001E,K200201_003E,K200201_002E,K200201_005E,K202101_002E,K202101_006E,K201701_002E,K201901_001E,K201501_004E,K201501_007E,K202801_002E,K202801_004E,state,congressional district
"Congressional District 9 (118th Congress), Washington",765854,98587,315712,179593,30381,577603,90469,298197,114252,148716,291765,280928,53,09
"Congressional District 1 (118th Congress), West Virginia",866374,27788,792004,4869,48170,643028,153404,366558,249803,85685,334529,308281,54,01
"Congressional District 2 (118th Congress), West Virginia",903697,29553,802080,7785,53419,671153,132376,377086,250317,97056,350001,325257,54,02
"Congressional District 1 (118th Congress), Wisconsin",730388,40084,555963,13950,35756,537971,77005,301396,152805,108862,290028,278580,55,01
"Congressional District 2 (118th Congress), Wisconsin",747345,33369,596542,37655,25968,573294,71625,331538,113034,145225,321917,304054,55,02
"Congressional District 3 (118th Congress), Wisconsin",739552,7334,664416,17608,41158,545908,83250,305714,162838,96423,287853,274027,55,03
"Congressional District 4 (118th Congress), Wisconsin",719795,224535,305001,37797,20475,524816,134946,299754,126149,103406,286441,271629,55,04
"Congressional District 5 (118th Congress), Wisconsin",746152,13439,653608,22585,31980,560356,50197,307864,133998,146637,298739,286009,55,05
"Congressional District 6 (118th Congress), Wisconsin",738802,15254,644927,19672,38524,551797,63816,310947,169124,107157,296852,283061,55,06
"Congressional District 7 (118th Congress), Wisconsin",747209,3272,672561,11134,43086,551221,70958,326727,182001,98570,306960,287839,55,07
"Congressional District 8 (118th Congress), Wisconsin",741712,12765,630577,18700,38584,542871,65077,311599,172767,108183,296909,284196,55,08
"Congressional District (at Large) (118th Congress), Wyoming",584057,4038,492128,5057,39015,411424,64309,247368,111034,77762,237094,221464,56,00
"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",3205691,169924,762297,4480,58220,2646459,1257607,1277486,654008,524456,1119792,1051381,72,98
